scenario,location,band_keV,published,v1.2.1_browser,v1.2.2_browser,a_rel,b_rel,total_rel,LT_factor_rel,b_minus_LT
isotropic,MIF on,40-200,0.16096914886158584,3.5112860202789307,3.656238317489624,20.813409868360647,0.04128182562558047,21.71390725084563,0.02199907578778859,0.01928274983779188
isotropic,MIF on,0.2-1,8e-08,7.999999951380232e-08,7.999999951380232e-08,-6.07747097092215e-09,0.0,-6.07747097092215e-09,0.02199907578778859,-0.02199907578778859
isotropic,MIF on,0.21-1,7.9e-08,7.900000298377563e-08,7.900000298377563e-08,3.7769311678204076e-08,0.0,3.7769311678204076e-08,0.02199907578778859,-0.02199907578778859
isotropic,MIF on,1-6,1.47994261793548,1.4791827201843262,1.511687159538269,-0.0005134643343225331,0.02197459374720956,0.021449846242736603,0.02199907578778859,-2.448204057903247e-05
isotropic,MIF on,6-11.5,2.1731774033080002,2.173509359359741,2.22137451171875,0.00015275147405624523,0.02202205946474911,0.022178174840850273,0.02199907578778859,2.2983676960519617e-05
isotropic,MIF on,7.6-7.7,0.12309032170000002,0.1120656281709671,0.11496441811323166,-0.08956588443974234,0.025866895939245182,-0.06601577991300644,0.02199907578778859,0.0038678201514565913
isotropic,MIF off,40-200,122.5848694256041,121.96131134033203,122.30216217041016,-0.005086745927077918,0.002794745533089449,-0.002306216554446072,0.003291641303670545,-0.0004968957705810961
isotropic,MIF off,0.2-1,1.6904622823539999,1.6226403713226318,1.6279962062835693,-0.04012033379231905,0.003300691302640324,-0.03695206732648615,0.003291641303670545,9.049998969778983e-06
isotropic,MIF off,0.21-1,1.69033070967,1.622183084487915,1.6275373697280884,-0.04031614925542548,0.0033006664237678063,-0.03714855299184061,0.003291641303670545,9.025120097261308e-06
isotropic,MIF off,1-6,0.82186006382138,0.8220916390419006,0.8247974514961243,0.00028176964755277645,0.003291375712538791,0.003574072769865877,0.003291641303670545,-2.6559113175395055e-07
