R|L|theta|live time [s]|counts|cps [hz]|file|configuration ID
21.5, 353.5|21.5, 336|0|288.99|68600|237.38|HB4_DOWN_40|5
34, 353.5|46, 336|0|110.03|34387|312.52|HB4_DOWN_41
46, 353.5|46, 336|0|272.75|102762|376.76|HB4_DOWN_42
58, 353.5|58, 336|0|393.45|160611|408.21|HB4_DOWN_43
67.5, 353.5|67.5, 336|0|475.0|204991|431.54|HB4_DOWN_44
84, 353.5|84, 336|0|290.22|136252|469.48|HB4_DOWN_45
96, 353.5|96, 336|0|476.11|228301|479.51|HB4_DOWN_46
111, 353.5|111, 336|0|336.32|165078|490.84|HB4_DOWN_47
132, 353.5|132, 336|0|584.97|261198|446.52|HB4_DOWN_48
148, 353.5|148, 336|0|149.99|62750|418.36|HB4_DOWN_49
33, 383.5|33, 366|0|158.03|43435|274.85|HB4_DOWN_50
47.5, 383.5|47.5, 366|0|4992.5|1497073|299.84|HB4_DOWN_51
60, 383.5|60, 366|0|192.67|59288|307.72|HB4_DOWN_52
77, 383.5|77, 366|0|411.11|125175|304.48|HB4_DOWN_53
94, 383.5|94, 366|0|260.10|81768|314.37|HB4_DOWN_54
107, 383.5|107, 366|0|129.12|40292|312.05|HB4_DOWN_55
123, 383.5|123, 366|0|392.10|120044|306.16|HB4_DOWN_56
149, 383.5|149, 366|0|423.73|123033|284.32|HB4_DOWN_57
45, 412.5|45, 395|0|566.97|200986|354.49|HB4_DOWN_58
63, 412.5|63, 395|0|321.95|98185|304.97|HB4_DOWN_59
77, 412.5|77, 395|0|215.28|58627|273.33|HB4_DOWN_60
94, 412.5|94, 395|0|382.54|88585|231.57|HB4_DOWN_61
111.5, 412.5|111.5, 395|0|377.45|79307|210.11|HB4_DOWN_62
134, 412.5|134, 395|0|678.30|134407|198.15|HB4_DOWN_63
149, 412.5|149, 395|0|310.17|56770|183.03|HB4_DOWN_64
24.5, 226|24.5, 209.5|0|328.45|20746|63.16|PROSPECT_DOWN_1
43.5, 226|43.5, 209.5|0|241.05|18794|77.97|PROSPECT_DOWN_2
69, 226|69, 209.5|0|168.14|21559|128.22|PROSPECT_DOWN_3
96.5, 226|96.5, 209.5|0|239.37|48467|202.48|PROSPECT_DOWN_4
119.5, 226|119.5, 209.5|0|174.74|34926|199.87|PROSPECT_DOWN_5
145.5, 226|145.5, 209.5|0|207.13|34141|164.83|PROSPECT_DOWN_6
24, 190|24, 173.5|0|158.61|7967|50.2|PROSPECT_DOWN_7
51.5, 190|51.5, 173.5|0|156.87|10676|68.06|PROSPECT_DOWN_8
105.5, 190|105.5, 173.5|0|239.76|23266|239.02|PROSPECT_DOWN_10
122.5, 190|122.5, 173.5|0|157.42|15935|101.55|PROSPECT_DOWN_11
153.5, 190|153.5, 173.5|0|199.79|18574|93.22|PROSPECT_DOWN_12
82.5, 190|82.5, 173.5|0|175.30|14391|82.30|PROSPECT_DOWN_9
25.5, 168.5|25.5, 141|0|173.59|10857|62.70|PROSPECT_DOWN_13
62.5, 168.5|62.5, 141|0|137.92|10429|75.82|PROSPECT_DOWN_14
82, 168.5|82, 141|0|204.26|14770|72.49|PROSPECT_DOWN_15
102.5, 168.5|102.5, 141|0|165.36|12515|75.88|PROSPECT_DOWN_16
121, 168.5|121, 141|0|209.24|17008|81.49|PROSPECT_DOWN_17
146.5, 168.5|146.5, 141|0|222.73|17576|79.13|PROSPECT_DOWN_18
