1,8.0,1.10,0.0,0.8,0.1,1,1
2,2.0,1.10,0.0,1.14667,0.1,1,1
3,2.0,1.10,0.0,1.2,0.1,1,1
4,2.0,1.10,0.0,0.8,0.1,1,1
5,2.0,1.10,0.0,1.02,0.1,1,1
6,38.06,1.10,0.0,1.20,0.1,1,1
7,304.44,1.10,0.0,1.20,0.1,1,1
8,38.06,1.10,0.0,1.18083,0.1,1,1
9,38.06,1.10,0.0,1.18083,0.1,0,1
10,38.06,1.10,0.0,1.18083,0.1,0,2
11,304.44,1.10,0.0,1.2,0.1,0,1
12,304.44,1.10,0.0,1.2,0.0,0,1
13,304.44,1.10,0.0,1.2,50.0,0,1
14,38.06,1.10,0.0,1.18083,0.0,1,1
15,304.44,1.10,0.0,1.2,0.0,1,1
16,8.0,1.10,0.0,1.2,0.1,1,1
17,256.0,1.10,0.0,1.02,0.1,1,1
