R|L|theta|live time [s]|total counts|CPS [hz]|file|configuration ID
30.5, 172|47.5, 172|0|841.65|28910|34.35|NOMINAL_DOWN|5
24.5, 293|24.5, 276|0|1111.9|166967|150.16|HB4_DOWN_1
34.5, 293|34.5, 276|0|216.25|42542|196.73|HB4_DOWN_2
42.5, 293|42.5, 276|0|198.66|56866|286.25|HB4_DOWN_3
51,293|51, 276|0|261.77|96392|368.23|HB4_DOWN_4
58, 293|58, 276|0|197.06|80380|407.9|HB4_DOWN_5
66.5, 293|66.5, 276|0|199.39|93398|468.42|HB4_DOWN_6
72, 293|72, 276|0|214.28|103403|482.56|HB4_DOWN_7
80, 293|80, 276|0|176.57|88258|499.58|HB4_DOWN_8
85.5, 293|85.5, 276|0|177.56|89866|506.12|HB4_DOWN_9
93, 293|93, 276|0|232.83|119143|511.72|HB4_DOWN_10
54.5, 293|54., 276|0|2421.22|921611|380.64|HB4_DOWN_11
100, 293|100, 276|0|145.69|74412|510.76|HB4_DOWN_12
110.5, 293|110.5, 276|0|214.57|106898|498.2|HB4_DOWN_13
135, 293|135, 276|0|185.99|77225|415.21|HB4_DOWN_14
66.5, 259|66.5, 242|0|362.46|116351|321.00|HB4_DOWN_15
77, 259|77, 242|0|223.76|81872|365.89|HB4_DOWN_16
85, 259|85, 242|0|316.6|120754|381.41|HB4_DOWN_17
92.5, 259|92.5, 242|0|198.46|77349|389.75|HB4_DOWN_18
104, 259|104, 242|0|168.95|65650|388.58|HB4_DOWN_19
121.5, 259|121.5, 242|0|175.41|61945|353.14|HB4_DOWN_20
