R|L|theta|live time [s]|total counts|cps [hz]|file|configuration ID
29.5, 117|47, 117|0|235.77|50780|216.51|PROSPECT_DOWN_19|5
29.5, 134.5|47, 134.5|0|134.43|7972|59.43|PROSPECT_DOWN_20
29.5, 143|47, 143|0|191.66|9040|57.55|PROSPECT_DOWN_21
29.5, 154|47, 154|0|261.69|13767|52.59|PROSPECT_DOWN_22
29.5, 167.5|47, 167.5|0|263.89|12969|49.15|PROSPECT_DOWN_23
29.5, 184|47, 184|0|440.42|22533|51.16|PROSPECT_DOWN_24
29.5, 197.5|47, 197.5|0|355.65|17335|48.74|PROSPECT_DOWN_25
42, 165.5|59.5, 165.5|0|236.20|16306|69.03|PROSPECT_DOWN_26
42, 179|59.5, 179|0|141.78|8679|61.21|PROSPECT_DOWN_27
29.5, 184.5|47, 184.5|0|226.26|10494|46.38|PROSPECT_DOWN_28
29.5, 189|47, 189|0|253.99|15865|62.46|PROSPECT_DOWN_29
29.5, 167.5|47, 167.5|0|137.46|6857|49.89|PROSPECT_DOWN_30
29.5, 183.5|47, 183.5|0|229.58|10058|43.81|PROSPECT_DOWN_31
29.5, 183.5|47, 183.5|0|398.64|16458|41.29|PROSPECT_DOWN_BRICK1
29.5, 183.5|47, 183.5|0|446.05|20387|45.71|PROSPECT_DOWN_BRICK2
