R|L|angle|live time [s]|counts|cps [hz]|file|configuration ID
77, 216|77, 198.5|63.5|77551.42|9071982|116.98|EAST_FACE_1|5
56, 216|56, 198.5|63.5|196.77|15711|79.84|EAST_FACE_2
98, 216|98, 198.5|63.5|193.93|193.93|177.84|EAST_FACE_3
98, 216|98, 198.5|72|234.33|234.33|200.06|EAST_FACE_4
77, 216|77, 198.5|72|199.35|25063|125.72|EAST_FACE_5
35, 216|35, 198.5|72|214.30|11292|52.69|EAST_FACE_6
35, 216|35, 198.5|80|238.55|12873|53.96|EAST_FACE_7
77, 216|77, 198.5|80|243.12|32401|133.27|EAST_FACE_8
98, 216|98, 198.5|80|297.50|61361|2006.26|EAST_FACE_9
98, 216|98, 198.5|90|355.35|81361|228.96|EAST_FACE_10
77, 216|77, 198.5|90|376.75|51449|136.56|EAST_FACE_11
35, 216|35, 198.5|90|171.97|9099|52.91|EAST_FACE_12
35, 216|35, 198.5|100|175.90|7947|45.18|EAST_FACE_13
56, 216|56, 198.5|100|237.82|17332|72.88|EAST_FACE_14
77, 216|77, 198.5|100|240.98|35755|148.37|EAST_FACE_15
98, 216|98, 198.5|100|190.96|42468|223.39|EAST_FACE_16
77, 216|77, 198.5|106.5|206.26|28753|138.40|EAST_FACE_17
56, 216|56, 198.5|90|5765.29|444084|77.03|EAST_FACE_18
56, 216|56, 198.5|80|333.43|25181|75.52|EAST_FACE_19
56, 216|56, 198.5|72|495.54|36351|73.36|EAST_FACE_20
