R|L|theta|live time [s]|counts|cps [hz]|file|configuration ID
25.5, 121.5|25.5, 104|0|331.62|208829|629.72|HB3_DOWN_1|5
23.5, 147.5|23.5, 130|0|175.18|24114|137.65|HB3_DOWN_2
42, 147.5|42, 130|0|229.86|33686|146.55|HB3_DOWN_3
60, 147.5|60, 130|0|261.88|31055|118.58|HB3_DOWN_4
85, 147.5|85, 130|0|355.24|34468|97.03|HB3_DOWN_5
107, 147.5|107, 130|0|267.10|23351|87.42|HB3_DOWN_6
144.5, 147.5|144.5, 130|0|278.04|27491|98.87|HB3_DOWN_7
50, 121.5|50, 104|0|237.10|54794|231.10|HB3_DOWN_8
67, 121.5|67, 104|0|304.46|42903|140.92|HB3_DOWN_9
90.5, 121.5|90.5, 104|0|270.40|29214|108.04|HB3_DOWN_10
111, 121.5|111, 104|0|230.92|24070|104.24|HB3_DOWN_11
147, 121.5|147, 104|0|211.00|19077|90.41|HB3_DOWN_12
24.5, 93.5|24.5, 76|0|367.22|236985|645.35|HB3_DOWN_13
46.5, 93.5|46.5, 76|0|217.67|52708|242.42|HB3_DOWN_14
70.4, 93.5|70.5, 76|0|352.88|53828|152.54|HB3_DOWN_15
83, 93.5|83, 76|0|287.20|36839|128.27|HB3_DOWN_16
106.5, 93.5|106.5, 76|0|253.14|34388|135.85|HB3_DOWN_17
144, 93.5|144, 76|0|265.97|30112|113.22|HB3_DOWN_18
19, 59.5|19, 42|0|207.94|19288|93.03|HB3_DOWN_19
55, 59.5|55, 42|0|204.33|24566|120.67|HB3_DOWN_20
69, 59.5|69, 42|0|237.68|29151|123.07|HB3_DOWN_21
91, 59.5|91, 42|0|210.94|26782|127.45|HB3_DOWN_22
110, 59.5|110, 42|0|229.29|30068|131.65|HB3_DOWN_23
143, 59.5|143, 42|0|228.26|26473|116.38|HB3_DOWN_24
