file_id,file_name,run_id,run_name,coordinate_id,detector_face_x_in,detector_face_z_in,live_time_s,counts_50_11400_keV,statistical_error_counts,rate_50_11400_counts_per_s,routine_point,calibration_A0_keV,calibration_A1_keV_per_channel,representative_point
770,HB4_DOWN_22,2,position_scan_4_HB4_DOWN_22,2,49.5,314.2,217.07,69624.0,263.8636011275523,320.74446031234163,True,-0.023417101841509663,0.6994146895139429,False
799,PROSPECT_DOWN_28,44,position_scan_7_PROSPECT_DOWN_28,44,38.3,200.5,226.26,7032.0,83.85702117294652,31.07928931317953,True,-0.2889562578243986,0.6994008394878689,False
807,HB4_DOWN_44,125,position_scan_6_HB4_DOWN_44,125,83.5,344.7,475.02,192512.0,438.7618944256668,405.27135699549495,False,-0.2889562578243986,0.6994008394878689,False
850,HB4_DOWN_18,118,position_scan_3_HB4_DOWN_18,118,108.5,250.2,198.46,69833.0,264.25934231356894,351.8744331351406,True,-0.023417101841509663,0.6994146895139429,False
853,HB3_DOWN_23,89,position_scan_8_HB3_DOWN_23,89,126.0,50.7,229.29,27760.0,166.61332479726823,121.06938811112565,True,-0.2889562578243986,0.6994008394878689,False
878,HB4_DOWN_41,122,position_scan_6_HB4_DOWN_41,122,52.17231115838909,355.29083979257985,110.03,30736.0,175.31685600648902,279.3419976370081,True,-0.2889562578243986,0.6994008394878689,False
883,HB3_DOWN_9,75,position_scan_8_HB3_DOWN_9,75,83.0,112.7,304.46,36500.0,191.049731745428,119.88438546935559,True,-0.2889562578243986,0.6994008394878689,False
891,PROSPECT_DOWN_25,41,position_scan_7_PROSPECT_DOWN_25,41,38.3,213.5,355.65,12705.0,112.71645842555559,35.72332349219739,True,-0.2889562578243986,0.6994008394878689,False
906,HB3_DOWN_14,80,position_scan_8_HB3_DOWN_14,80,62.5,84.7,217.67,47853.0,218.7532856896097,219.84196260394177,True,-0.2889562578243986,0.6994008394878689,False
907,PROSPECT_DOWN_13,158,position_scan_6_PROSPECT_DOWN_13,158,41.5,159.7,173.91,9582.0,97.88769074812215,55.0974642056236,True,-0.2889562578243986,0.6994008394878689,False
929,HB4_DOWN_30,10,position_scan_4_HB4_DOWN_30,10,164.5,314.2,317.51,138675.0,372.3909236273086,436.7578973890586,True,-0.023417101841509663,0.6994146895139429,False
982,HB4_DOWN_21,1,position_scan_4_HB4_DOWN_21,1,39.5,314.2,265.19,58836.0,242.5613324501661,221.86356951619592,True,-0.023417101841509663,0.6994146895139429,False
986,HB3_DOWN_22,88,position_scan_8_HB3_DOWN_22,88,107.0,50.7,210.94,24802.0,157.48650735856708,117.57845832938277,True,-0.2889562578243986,0.6994008394878689,False
1010,HB4_DOWN_42,123,position_scan_6_HB4_DOWN_42,123,62.0,344.7,272.75,91036.0,301.7217260987349,333.77085242896425,True,-0.2889562578243986,0.6994008394878689,False
1016,PROSPECT_DOWN_22,38,position_scan_7_PROSPECT_DOWN_22,38,38.3,170.0,261.79,10001.0,100.00499987500625,38.20237595018908,True,-0.2889562578243986,0.6994008394878689,False
1026,HB3_DOWN_17,83,position_scan_8_HB3_DOWN_17,83,122.5,84.7,253.14,28247.0,168.0684384410113,111.58647388796714,True,-0.2889562578243986,0.6994008394878689,False
